"Theta [deg]","dB(GainTotal) [] - Freq='10GHz' Phi='90deg'"
-90.0000000000002,-9.17609794812067
-88.9999999999998,-8.61124488372689
-88,-5.06345833755495
-87.0000000000002,-2.8709179441524
-85.9999999999998,-2.51424211433513
-85,-3.8870311533834
-84.0000000000002,-6.27874640116863
-82.9999999999998,-6.69171154519484
-82,-5.0567229092854
-81.0000000000002,-4.3545863220865
-79.9999999999998,-5.17726045905844
-79,-7.20909618921162
-78.0000000000002,-9.40718763787227
-76.9999999999998,-10.0546509018758
-76,-9.19273239395793
-75.0000000000002,-8.226598116599
-73.9999999999998,-7.6364533341339
-73,-6.82220040770659
-72.0000000000002,-5.25135612590136
-70.9999999999998,-3.67646943026421
-70,-2.93704597540267
-69.0000000000001,-3.3399713920556
-67.9999999999998,-4.94875411687371
-67,-7.36950264866589
-66.0000000000001,-7.91136722055164
-64.9999999999998,-5.34389107119295
-64,-3.12010721732688
-63.0000000000001,-2.31924892322032
-61.9999999999998,-2.97025903242419
-60.9999999999999,-5.10132403660101
-60.0000000000001,-9.33878110070658
-58.9999999999998,-18.3246384684961
-57.9999999999999,-10.4278143470452
-57,-4.43496433155696
-56,-2.20801967771857
-55,-2.998093945983
-54,-8.6446960247048
-53,-12.5134767470735
-52,-2.18924661114486
-51,1.29135070770304
-50,1.81428674384968
-49,-0.159418638408097
-48,-5.63581387973465
-47,-25.1772403144595
-46,-9.62299178306153
-45,-6.27552091218776
-44,-6.1602426941342
-43,-6.23678024931219
-42,-5.15821492339561
-41,-3.87638406858489
-40,-3.00621245991462
-39,-2.84969220958484
-38,-4.17792631798299
-37,-8.78284736455691
-36,-12.2271227585812
-35,-3.32911646278416
-34,0.877544826693898
-33,2.4616146777351
-32,2.06954654702681
-31,-0.20706536701175
-30,-3.0200150072623
-29,-1.25875363120623
-28,1.64719317267744
-27,2.75805953997256
-26,1.83246602930794
-25,-1.93325144601778
-24,-13.4818525212998
-23,-4.70858655142669
-22,1.20672133896433
-21,3.26182077899092
-20,2.98935858763723
-19,0.45242843027293
-18,-2.45509819923739
-17,1.39191803331412
-16,5.16455707433944
-15,6.68365808999118
-14,6.04034388132596
-13,3.10166751774097
-12,2.7881684871683
-11,8.19382263720616
-10,11.7669655897806
-9.00000000000002,13.177262687746
-7.99999999999998,12.3248432164688
-7,7.71239490227611
-6.00000000000001,6.61610520860897
-5,16.2057448544665
-4,21.4939167657305
-3,24.7892317842166
-2,26.8695771386252
-1,28.0367281943483
0,28.4181809085103
1,28.0504431598824
2,26.8982693942853
3,24.8361046190727
4,21.5664246938488
5,16.3241977502581
6.00000000000001,6.81022835912188
7,7.57898102022016
7.99999999999998,12.2974222866958
9.00000000000002,13.203781537952
10,11.843768369916
11,8.34157471312756
12,2.95550001573292
13,2.93246840672243
14,5.8675586719971
15,6.53622420046611
16,5.0180984380592
17,1.21590871231377
18,-2.57321657185109
19,0.465362681477085
20,3.00022902619003
21,3.25987250830959
22,1.18908304016611
23,-4.78035092314248
24,-14.3366618407646
25,-2.08749561155348
26,1.68876189195243
27,2.57846904945031
28,1.39326518921105
29,-1.62028630789994
30,-3.17362360383458
31,-0.109126940658251
32,2.17943591602698
33,2.5639005154645
34,0.998697202413904
35,-3.09958348951081
36,-11.4554602230478
37,-8.98657730518178
38,-4.38610320757474
39,-2.95800528411553
40,-2.95603678490551
41,-3.65262116929667
42,-4.79867731682213
43,-5.7228079401782
44,-5.46406842758987
45,-5.44155552248059
46,-8.50734745341197
47,-33.0200910804285
48,-5.81438953232073
49,-0.0281680516968369
50,2.04532616531506
51,1.57750802526117
52,-1.85189455289964
53,-12.2023876268292
54,-8.72003374738472
55,-2.86888351269147
56,-2.05350158193738
57,-4.30289167906858
57.9999999999999,-10.3704663960153
58.9999999999998,-17.8873160148689
60.0000000000001,-9.08245586228703
60.9999999999999,-4.91360101909054
61.9999999999998,-2.80455571865669
63.0000000000001,-2.18233222676213
64,-3.04713107550275
64.9999999999998,-5.3667401853148
66.0000000000001,-7.88581952166927
67,-7.10941816800705
67.9999999999998,-4.7347613507578
69.0000000000001,-3.22141328129233
70,-2.85317920981841
70.9999999999998,-3.56611659232491
72.0000000000002,-5.11170353051238
73,-6.78794877730128
73.9999999999998,-7.83827795568706
75.0000000000002,-8.54365006170316
76,-9.38610623192616
76.9999999999998,-9.90099509174504
78.0000000000002,-9.03781667077733
79,-6.98639236405661
79.9999999999998,-5.15035255281282
81.0000000000002,-4.43794943864354
82,-5.11004620728118
82.9999999999998,-6.40519629165957
84.0000000000002,-5.71491463179012
85,-3.57147204955794
85.9999999999998,-2.43854237687913
87.0000000000002,-2.94010221464129
88,-5.14535472145347
88.9999999999998,-8.28787345094445
90.0000000000002,-8.4805683385617
