"Theta [deg]","dB(GainTotal) [] - Freq='10GHz' Phi='0deg'"
-90,-8.97224103409581
-89,-10.6143959637755
-88,-9.68029506421544
-87,-7.54075168371285
-86,-6.5489980340396
-85,-6.47366250595159
-84,-7.31537667508323
-83,-7.36081933544068
-82,-6.65063272199623
-81,-5.54247585821446
-80,-4.81208206025675
-79,-5.11768303086454
-78,-5.87826413358722
-77,-6.3544678531201
-76,-6.09230907932
-75,-5.6659339770606
-74,-5.96447185435884
-73,-7.44312828636884
-72,-9.90126532588327
-71,-12.301097367539
-70,-14.458931895539
-69,-19.0334595775804
-68,-27.2298733365091
-67,-16.4012137838004
-66,-11.8218667783125
-65,-9.54403946078904
-64,-7.98930464430412
-63,-6.75452402058877
-62,-6.14784302580152
-61,-6.53729789976092
-60,-8.08681892960655
-59,-10.6685135279839
-58,-13.6574664366919
-57,-15.7135153304209
-56,-13.6052371983447
-55,-8.95540015506517
-54,-5.36457146019153
-53,-3.22619370998795
-52,-2.29768673581226
-51,-2.19707668863346
-50,-2.34842888538741
-49,-2.26848460326499
-48,-1.99273889912143
-47,-1.62514840804824
-46,-0.882091103465734
-45,0.345155522565929
-44,1.53798349889318
-43,2.21562814534713
-42,2.22006268136478
-41,1.55956545054486
-40,0.660718712799693
-39,0.240693180354323
-38,0.323151443521951
-37,0.273081459421269
-36,-0.796849325606717
-35,-2.99911417905576
-34,-4.77217816763879
-33,-3.19028838187886
-32,-0.497009848882728
-31,0.98483362413549
-30,1.31551198229558
-29,0.278502464055964
-28,-2.56571646713115
-27,-8.59632533855503
-26,-12.5618710859765
-25,-4.51766624186023
-24,-0.668256281713869
-23,1.20665464111884
-22,1.66712055846009
-21,1.06501852371251
-20,-0.577269322582579
-19,-3.02993001109626
-18,-4.86146036187829
-17,-4.00744527411482
-16,-1.68698685795403
-15,0.23329173980225
-14,1.467115869814
-13,1.93828330539321
-12,1.45177625264221
-11,-0.331974632286122
-10,-4.18564943102008
-9,-11.5592943576884
-8,-6.61220806653975
-7,-1.45997047208428
-6,0.625575688524007
-5,0.641843909120657
-4,-1.24095752005332
-3,-5.61815285755816
-2,-9.55248135301584
-1,-5.52353635103954
0,-3.29764073553951
1,-4.31547516571915
2,-10.3892761760824
3,-15.5047624928399
4,-4.0522999415334
5,-0.47057348890952
6,0.00237395504437764
7,-2.93698448928398
8,-17.9762338678905
9,-3.33099069912838
10,3.45772836728258
11,6.5734426916726
12,7.80704602262626
13,7.5807463110447
14,5.94550884774088
15,2.76648488641017
16,-2.5264502942435
17,-9.28108241491317
18,-3.54765895329662
19,4.0322042684792
20,9.67601662244934
21,13.8122211370583
22,16.8147837105424
23,18.8749180994958
24,20.1039352029479
25,20.5586310652995
26,20.1885203778512
27,18.8690177201312
28,16.1648409698786
29,10.7033877808866
30,-6.02167262592746
31,10.4658765752012
32,16.0000851845394
33,18.7487617314195
34,20.16963252276
35,20.6929119448493
36,20.4796383486468
37,19.5918806344672
38,18.0115408674715
39,15.6840484681639
40,12.4936011299424
41,8.41366121247517
42,4.21696699678366
43,2.75401304907945
44,3.35185631079989
45,3.48430760809465
46,2.4319985162114
47,-0.182920048583708
48,-5.33853921625034
49,-12.0895790204973
50,-4.85469058051436
51,-0.18022111138981
52,2.44895903507034
53,3.99863758020576
54,4.72936082953992
55,4.6553226102916
56,3.78543269161977
57,2.14101530923813
58,0.0513688321160565
59,-1.85825697715179
60,-3.29907730309584
61,-4.82005422547485
62,-6.47391624286579
63,-6.23021244113124
64,-4.25435532147401
65,-2.93805013411481
66,-2.57391181645257
67,-3.28894471190501
68,-3.98916519807806
69,-4.39218280603718
70,-4.68598000565004
71,-5.82378239363696
72,-7.63175403370474
73,-9.68385501085393
74,-11.4548235242712
75,-13.5128975228222
76,-17.5595046649481
77,-21.6479161585039
78,-19.4553264990341
79,-18.9618226517394
80,-19.0101464822707
81,-17.5151367120474
82,-14.5486204990241
83,-13.0040369438804
84,-12.5887360018762
85,-12.5335791337892
86,-13.1968168565981
87,-13.0829403531527
88,-12.0555815371839
89,-11.0982668582487
90,-10.4696058055544
